Drug_name, Disease, Clinical_status
(+-)-tetrahydropalmatine,Analgesia,MB40.8
(+-)-tetrahydropalmatine,disorder,6B00-6B0Z
(+-)-tetrahydropalmatine,Irritability,MB24
(S)-(+)-Dimethindene maleate,Pruritus,EC90
111In-imciromab pentetate,infarction,BA41-BA43
131i-chtnt,tumour/cancer,2A00-2F9Z
13C-urea,infection,DA42-DA63
14C-urea,infection,DA42-DA63
153Sm-EDTMP,metastases,2D50
2-deoxyglucose,tumour/cancer,2A00-2F9Z
2-deoxyglucose,tumour/cancer,2A00-2F9Z
99mTc-besilesomab,metastases,2D50
99mTc-depreotide,Melanoma,2C30
99mTc-fanolesomab,Appendicitis,DB10
99mTc-sestamibi,cancer,2C60-2C65
99mTc-sulesomab,disease,DD72
99mTc-teboroxime,disease,BC43.20
99mTc-tetrofosmin,cancer,2C60-2C65
Abacavir,infection,1C62
Abaloparatide,osteoporosis,FB83.11
Abarelix,cancer,2C82.0
Abatacept,arthritis,FA20
Abciximab,pectoris,BA40
Abilify Maintena,porphyrias,5C58.12
ABIRATERONE,cancer,2C82.0
Abiraterone acetate,cancer,2C82.0
Abobotulinum toxin A,cancer,2C77.0
ABT-335,Dyslipidemia,5C80-5C81
Acalabrutinib,lymphoma,2A85.5
ACAM-2000,infection,1A24-1D9Z
Acamprosate,dependence,6C40.2
Acarbose,disease,BA00-BE2Z
Acarbose,complication,5A2Y
Acebutolol,Hypertension,BA00-BA04
ACECLIDINE,hypertension,9C61
Aceclofenac,Inflammation,1A00-CA43.1
Acel-Immune,infection,1C12.0
Acellular pertussis vaccine,Allergy,4A80-4A85
Acemannan,neoplasm,2A00-2F9Z
Acemannan,infection,1C62
Acenocoumarol,Thrombosis,DB61-GB90
Aceprometazine,disorder,7A00-7B2Z
Acetaminophen,Pain,MG30-MG3Z
Acetazolamide,hypertension,9C61
Acetic Acid, Glacial,canal,AA0Y
Acetohexamide,complication,5A2Y
Acetohydroxamic,infection,GC08
Acetohydroxamic Acid,infection,GC08
Acetophenazine,disorder,6A60
Acetrizoate Sodium,medium,N.A.
Acetylcholine,Cataract,9B10
Acetylcysteine,disease,DB90-BD99
Acetyldigitoxin,failure,BD10
Ach-02,Analgesia,MB40.8
Aciclovir,infection,1F00
Aciclovir,infection,1A24-1D9Z
Acipimox,Arteriosclerosis,BD40
Acitazanolast,Allergy,4A80-4A85
Acitretin,vulgaris,EA90
Aclarubicin,leukaemia,2A60
Aclidinium,disease,CA22
Acrisorcin,infection,1F29-1F2F
Acrivastine,rhinitis,CA08.0
Actarit,disease,4A01-4B41
Activated protein c concn,thrombosis,BD71
Adacel,infection,1C12.0
Adalimumab,arthritis,FA20
Adapalene,vulgaris,ED80
ADCON-L,healing,EL8Y
ADCON-T/N,healing,EL8Y
Adefovir Dipivoxil,infection,1E51.0
Adenine,Malnutrition,5B50-5B71
