gene_name,drug_claim_name
CDK7,SNS-032
VDR,NIFEKALANT
GPR55,BISACODYL
DPYD,DB03419
NR1H4,PENTACHLOROPHENOL
FGFR2,AZ6089
APOE,PREDNISONE
BLM,9
P2RX7,Pyridazinone derivative 1
TRPC6,135649885
AURKA,DB06347
CYP2E1,ISOFLAVONE
PDGFRB,CHEMBL576982
MMP2,178101832
OPRK1,DB00327
MAPT,DIHYDROXANTHOHUMOL
NR2E3,GNF-PF-3037
DNTT,HYDROXYUREA
ARAF,sorafenib
PIK3R2,PF-4691502
MAPK8,JNJ-7706621
POLH,AG-538
CBX1,BENSERAZIDE
ICAM1,BI-505
ATP4A,PANTOPRAZOLE
CHRM5,135650728
APP,DB09149
IDH1,BPTES
SPHK1,PMID27539678-Compound-11
CYP3A4,oxazepam
APOBEC3G,NSC-50690
F2R,CHEMBL2013119
TRPV1,PMID25666693-Compound-23
ATP1A1,ISTAROXIME
EZH2,GSK2816126
HTR1A,135650536
IGLC1,DB03088
MAPT,DB14914
USP1,GNF-PF-5510
KDM4E,NSC-50654
,PMID25623274-Compound-WO2014132220C2
NFKB1,SJ000113257
PI4KB,178102683
CD2,178103393
ADRB2,ALPRENOLOL
ADRA1B,DB00457
CACNA1F,CHEMBL2103836
NFE2L2,ALDICARB
GABRA6,178100967
SMARCA4,249565598
IL10,FLUTICASONE PROPIONATE
GLRA1,DB09130
CHRM3,DB00332
CA2,PARABEN
CSF1R,178102292
TLR8,315661111
JAK3,Pyrazolopyridine derivative 2
PDK1,Heterocyclic derivative 13
ALDH1A1,ROTTLERIN
COL6A6,CHEMBL2095222
RARG,PMID27336223-Compound-12
ALPP,DB08413
NR1I2,diethylstilbestrol
SCN11A,CHEMBL3545209
FMO3,tacrolimus
AKR1D1,DB07447
GADD45A,DOXORUBICIN
POLK,RESVERATROL
DRD4,CHEMBL1201155
IL2RA,INCELL-1001+ AD-1001
KDR,LENVATINIB
GMNN,IDAZOXAN
CYP17A1,DB01026
NR3C1,Mifepristone
,Flumethasone Pivalate
KRAS,lenalidomide
MAPK12,SB-202190
RACGAP1,TCMDC-124522
MGMT,CHLORAMBUCIL
BAX,PREDNISOLONE
ATAD5,DOMPERIDONE
CACNB4,VERAPAMIL
ALDH1A1,PIRINIXIC ACID
,XOMA-3AB
AR,DB00648
,US8877733
RAB9A,NSC-234945
CYP1A2,DEXPROPRANOLOL
ALK,ASP3026
CYP2C9,CYTARABINE
PDK1,PMID25684022-Compound-US20120277229 45(1.5)
VEGFA,ANTHRACYCLINE
KDM4A,CLOFAZIMINE
IRAK4,249565762
TUBA3E,CHEMBL107
HRH4,178103918
PTGER4,DINOPROSTONE
MIP,DB02451
HTR2A,ZOTEPINE
HTR2B,135650920
BCHE,RVT-103+RVT-104
CHRM2,DOXACURIUM
RRM1,VINORELBINE
GABRE,CHLORDIAZEPOXIDE
TUBB,135652721
GRM2,178102845
RET,SORAFENIB
APLNR,AMG 986
KCNJ4,DB01136
SLC6A4,DULOXETINE
BRAF,TRAMETINIB DIMETHYL SULFOXIDE
OTC,DB04185
VHL,Everolimus
ADRB1,SALMETEROL
FLT3,178102285
CYP2D6,FLUNISOLIDE
DRD2,ASENAPINE
AVPR1B,DB14642
PRKCB,BRYOSTATIN
RORC,DOMIPHEN BROMIDE
TOP2B,Salvicine
BLM,5
TP53,CAULIBUGULONE D
DRD1,PROMAZINE
JAK2,RUXOLITINIB
TH,L-Phenylalanine
HTR2C,PMID26609882-Compound-83
AGTR1,TASOSARTAN
,AMG 386
CYP2D6,L-701324
PDGFRB,PAZOPANIB
PDE4C,CHEMBL1200434
FLT1,VANDETANIB
GMNN,DNDI1417601
BRCA1,DOXORUBICIN HYDROCHLORIDE
HDAC11,PMID29671355-Compound-44
HTR2A,DB00589
GFER,TRIMEPRAZINE TARTRATE
PTEN,PI3KBETA INHIBITOR AZD8186
CFTR,ivacaftor / tezacaftor
F2,DB06929
CDKN2A,ON-01910
AVPR2,135652465
APOA5,simvastatin
PRKCQ,329968392
CCR2,178100489
TNF,HYDROXYCHLOROQUINE
CCR2,328083530
GNB3,Thiazides
LCK,315661265
ALK,ASP3026
HDAC11,CHEMBL3545368
OPRD1,SB-0304
KRAS,GA201
PDGFRA,IMATINIB
TPMT,Thioguanine
FURIN,252166802
CDC25B,Avastin+/-Tarceva
STAT3,NICLOSAMIDE
KDM4E,PURPUROGALLIN
HTR2C,escitalopram
RGS4,METHYLDOPA
THPO,SB-224289
LIPC,ETHANOL
NFE2L2,3
CSNK2A2,US8791257
NTRK1,Pyrazolo[1
HDAC2,2-ENE-VALPROATE
KDM5A,BDBM50158803
MUC1,Anti-MUC1 mab
CYP2C19,BIOCHANIN
RAD52,R(-)-APOCODEINE HCL
HDAC1,310264675
