Drug_name,Pathway_name,smpdb-id,category
Lepirudin,Lepirudin Action Pathway,SMP0000278,drug_action
Cetuximab,Cetuximab Action Pathway,SMP0000474,drug_action
Bivalirudin,Bivalirudin Action Pathway,SMP0000277,drug_action
Alteplase,Alteplase Action Pathway,SMP0000280,drug_action
Urokinase,Urokinase Action Pathway,SMP0000284,drug_action
Reteplase,Reteplase Action Pathway,SMP0000285,drug_action
Anistreplase,Anistreplase Action Pathway,SMP0000281,drug_action
Tenecteplase,Tenecteplase Action Pathway,SMP0000283,drug_action
Abciximab,Abciximab Action Pathway,SMP0000265,drug_action
Eptifibatide,Eptifibatide Action Pathway,SMP0000266,drug_action
Trastuzumab,Trastuzumab Action Pathway,SMP0000476,drug_action
Streptokinase,Streptokinase Action Pathway,SMP0000282,drug_action
Bevacizumab,Bevacizumab Action Pathway,SMP0000420,drug_action
Pyridoxal phosphate,Carbamoyl Phosphate Synthetase Deficiency,SMP0000002,disease
Pyridoxal phosphate,Argininosuccinic Aciduria,SMP0000003,disease
Pyridoxal phosphate,Glycine and Serine Metabolism,SMP0000004,metabolic
Pyridoxal phosphate,Tyrosine Metabolism,SMP0000006,metabolic
Pyridoxal phosphate,Ammonia Recycling,SMP0000009,metabolic
Pyridoxal phosphate,Catecholamine Biosynthesis,SMP0000012,metabolic
Pyridoxal phosphate,Propanoate Metabolism,SMP0000016,metabolic
Pyridoxal phosphate,Arginine and Proline Metabolism,SMP0000020,metabolic
Pyridoxal phosphate,Taurine and Hypotaurine Metabolism,SMP0000021,metabolic
Pyridoxal phosphate,Porphyrin Metabolism,SMP0000024,metabolic
Pyridoxal phosphate,Selenoamino Acid Metabolism,SMP0000029,metabolic
Pyridoxal phosphate,Histidine Metabolism,SMP0000044,metabolic
Pyridoxal phosphate,Starch and Sucrose Metabolism,SMP0000058,metabolic
Pyridoxal phosphate,Glutamate Metabolism,SMP0000072,metabolic
Pyridoxal phosphate,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,SMP0000137,disease
Pyridoxal phosphate,3-Methylglutaconic Aciduria Type I,SMP0000139,disease
Pyridoxal phosphate,beta-Ketothiolase Deficiency,SMP0000173,disease
Pyridoxal phosphate,Cystathionine beta-Synthase Deficiency,SMP0000177,disease
Pyridoxal phosphate,Glutaric Aciduria Type I,SMP0000186,disease
Pyridoxal phosphate,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMP0000188,disease
Pyridoxal phosphate,Histidinemia,SMP0000191,disease
Pyridoxal phosphate,Tyrosinemia Type I,SMP0000218,disease
Pyridoxal phosphate,Saccharopinuria/Hyperlysinemia II,SMP0000239,disease
Pyridoxal phosphate,Hyperinsulinism-Hyperammonemia Syndrome,SMP0000339,disease
